runtime 
Tf idf regression
1 0.0531914893617021 0.689760973256873 
0.666666666666667 0.0845070422535211 0.733755756496017 
0.833333333333333 0.0617283950617284 0.726749977361224 
0.6 0.0352941176470588 0.672621641249092 
0.5 0.0352941176470588 0.713289760348584 
0.4 0.0222222222222222 0.702388888888889 
1 0.010989010989011 0.690338483571566 
0.6 0.0909090909090909 0.722377072612922 
1 0.0421052631578947 0.6636109260493 
PCA regression
0.0970873786407767 0.138888888888889 0.581377618668788 
0.259259259259259 0.291666666666667 0.489492177141342 
0.1875 0.189473684210526 0.496002664890073 
0.24822695035461 0.426829268292683 0.580284552845528 
0.32994923857868 0.684210526315789 0.703451032644903 
0.299319727891156 0.468085106382979 0.586852568235547 
0.188034188034188 0.229166666666667 0.487018824027073 
0.202614379084967 0.326315789473684 0.597148567621586 
0.255813953488372 0.293333333333333 0.620481927710843 
0.18 0.243243243243243 0.513058731808732 
Code embedding regression
0.6 0.174757281553398 0.791399759783805 
0.405405405405405 0.174418604651163 0.82220786678151 
0.333333333333333 0.238636363636364 0.751837403889643 
0.366666666666667 0.142857142857143 0.793968743121286 
0.592592592592593 0.170212765957447 0.760880077369439 
0.571428571428571 0.25 0.868122799295775 
0.470588235294118 0.181818181818182 0.784090909090909 
0.409090909090909 0.103448275862069 0.805595961324549 
0.384615384615385 0.113636363636364 0.794549977385798 
0.432432432432432 0.213333333333333 0.814698795180723 
iowrite 
Tf idf regression
0.538461538461538 0.0542635658914729 0.639995288877468 
0.470588235294118 0.0526315789473684 0.622428582518243 
0.555555555555556 0.0892857142857143 0.656320861678005 
0.666666666666667 0.0763358778625954 0.650300878181548 
0.421052631578947 0.0661157024793388 0.600069430446371 
0.541666666666667 0.0955882352941176 0.649603273512795 
0.444444444444444 0.0536912751677852 0.618522309039737 
0.571428571428571 0.0588235294117647 0.640183615819209 
0.571428571428571 0.0592592592592593 0.642128325508607 
0.263157894736842 0.0384615384615385 0.665544871794872 
PCA regression
0.364864864864865 0.357615894039735 0.540572652902221 
0.37037037037037 0.138888888888889 0.598052753762408 
0.328571428571429 0.188524590163934 0.566409034212402 
0.359375 0.174242424242424 0.623328254613171 
0.357142857142857 0.153846153846154 0.602350427350427 
0.161290322580645 0.0357142857142857 0.524061224489796 
0.318181818181818 0.202898550724638 0.552320075757576 
0.32258064516129 0.416666666666667 0.566441441441441 
0.415094339622642 0.352 0.618597260273973 
0.276595744680851 0.201550387596899 0.506592368313685 
Code embedding regression
0.435897435897436 0.115646258503401 0.629083610188261 
0.538461538461538 0.099290780141844 0.682512664640324 
0.5 0.154471544715447 0.674597372676724 
0.355555555555556 0.119402985074627 0.598377494549723 
0.56 0.205882352941176 0.704688019275507 
0.369565217391304 0.141666666666667 0.668783783783784 
0.5 0.185483870967742 0.683170280274987 
0.575 0.186991869918699 0.644480627367582 
0.588235294117647 0.0689655172413793 0.653863068465767 
