runtime 
Tf idf xgboost
0.78125 0.595238095238095 0.916681327703495 
0.716666666666667 0.477777777777778 0.925125 
0.690140845070423 0.556818181818182 0.914066033469019 
0.87037037037037 0.474747474747475 0.925185357410421 
0.772727272727273 0.523076923076923 0.937303167420815 
iowrite 
Tf idf xgboost
0.607142857142857 0.380597014925373 0.806053764789498 
0.753424657534247 0.381944444444444 0.815762087736151 
0.63953488372093 0.4296875 0.832559996546961 
0.701298701298701 0.406015037593985 0.826541142772899 
0.714285714285714 0.485074626865672 0.839908603052155 
0.578125 0.333333333333333 0.818548099550738 
0.671232876712329 0.355072463768116 0.800868741765481 
0.571428571428571 0.358208955223881 0.783519201744089 
0.654320987654321 0.392592592592593 0.819363588941054 
0.682539682539683 0.307142857142857 0.829081632653061 
