runtime 
Tf idf randomForest
NaN 0 0.655890609435842 
NaN 0 0.720204081632653 
NaN 0 0.711095022624434 
NaN 0 0.764052887003707 
0 0 0.526329317269076 
NaN 0 0.624099871073237 
Code embedding randomForest
0.739130434782609 0.4 0.910750507099392 
0.605263157894737 0.418181818181818 0.913177648040033 
0.707317073170732 0.386666666666667 0.90774297188755 
0.679245283018868 0.5 0.909688995215311 
0.833333333333333 0.422535211267606 0.91310632290161 
0.613636363636364 0.391304347826087 0.916795758890151 
0.875 0.486111111111111 0.915968899521531 
0.810810810810811 0.36144578313253 0.929857020218466 
0.771428571428571 0.346153846153846 0.900967762011451 
0.818181818181818 0.428571428571429 0.914910226385636 
ioread 
Tf idf randomForest
0.590163934426229 0.461538461538462 0.915859564164649 
0.734375 0.494736842105263 0.926355661881978 
0.75 0.621951219512195 0.943059540889527 
0.596774193548387 0.435294117647059 0.9000290486565 
0.80952380952381 0.542553191489362 0.9017972275951 
0.656716417910448 0.586666666666667 0.901429718875502 
0.625 0.535714285714286 0.926401595120807 
0.733333333333333 0.556962025316456 0.918845668175798 
0.635135135135135 0.552941176470588 0.918445896877269 
0.623529411764706 0.56989247311828 0.897510901654885 
PCA randomForest
0 0 0.746818153597815 
0.666666666666667 0.025974025974026 0.77082941213376 
NaN 0 0.780234798000833 
NaN 0 0.748535963462131 
NaN 0 0.744827001356852 
0.5 0.0099009900990099 0.729122655196111 
NaN 0 0.797941590429275 
NaN 0 0.75094512195122 
NaN 0 0.748734756097561 
NaN 0 0.781895582329317 
Code embedding randomForest
0.914285714285714 0.432432432432432 0.942980750534707 
0.761904761904762 0.545454545454545 0.924458605910219 
0.913793103448276 0.595505617977528 0.939309030793802 
0.703125 0.548780487804878 0.897268053562889 
0.740740740740741 0.454545454545455 0.907734056987788 
0.76271186440678 0.5625 0.950198170731707 
0.805194805194805 0.639175257731959 0.947443666220718 
0.8 0.611764705882353 0.941045751633987 
0.729411764705882 0.720930232558139 0.958079092793 
0.745454545454545 0.506172839506173 0.927857768118567 
iowrite 
Tf idf randomForest
0.6375 0.435897435897436 0.797774121303533 
0.63265306122449 0.421768707482993 0.811471681695934 
0.627659574468085 0.464566929133858 0.82250927311772 
0.611570247933884 0.532374100719424 0.83386624034106 
0.720430107526882 0.426751592356688 0.850815783936803 
0.604651162790698 0.393939393939394 0.775256052141527 
0.66304347826087 0.445255474452555 0.815409110647009 
0.625 0.495049504950495 0.833782992695156 
0.651162790697674 0.391608391608392 0.830082021724673 
0.572916666666667 0.419847328244275 0.809840736566799 
PCA randomForest
0.571428571428571 0.0310077519379845 0.603848130540923 
0.4 0.0145985401459854 0.59645758587983 
0.6 0.0225563909774436 0.587382321349592 
0 0 0.612836734693878 
0 0 0.6561661190921 
0.166666666666667 0.00671140939597315 0.578411305083745 
NaN 0 0.583273939292303 
0.25 0.0169491525423729 0.569846910880262 
0.666666666666667 0.016260162601626 0.562160785095589 
NaN 0 0.583287216380742 
Code embedding randomForest
0.721518987341772 0.4453125 0.862280475206612 
0.658823529411765 0.411764705882353 0.817149958574979 
0.72972972972973 0.45 0.846576576576577 
0.646464646464647 0.474074074074074 0.82925404277517 
0.697478991596639 0.601449275362319 0.853919631093544 
0.772727272727273 0.571428571428571 0.897143763165644 
0.771428571428571 0.54 0.850460784313726 
0.71264367816092 0.48062015503876 0.860057119543044 
0.666666666666667 0.40625 0.818661515883978 
0.813953488372093 0.472972972972973 0.843093093093093 
